 | CPU load: 0
 | CPU load: 0
 | CPU load: 0
 | CPU load: 0
 | CPU load: 3
 | CPU load: 7
 | CPU load: 7
 | CPU load: 7
 | CPU load: 7
 | CPU load: 9
 | CPU load: 9
 | CPU load: 12
Tue Dec 24 12:25:48 +05 2024 | CPU load: 3
Tue Dec 24 12:25:51 +05 2024 | CPU load: 3
Tue Dec 24 12:25:54 +05 2024 | CPU load: 6
Tue Dec 24 12:25:54 +05 2024 | CPU load: 6
Tue Dec 24 12:25:57 +05 2024 | CPU load: 6
Tue Dec 24 12:25:57 +05 2024 | CPU load: 6
Tue Dec 24 12:26:01 +05 2024 | CPU load: 9
Tue Dec 24 12:26:01 +05 2024 | CPU load: 9
Tue Dec 24 12:26:04 +05 2024 | CPU load: 11
Tue Dec 24 12:26:09 +05 2024 | CPU load: 11
Tue Dec 24 12:26:12 +05 2024 | CPU load: 14
Tue Dec 24 12:26:15 +05 2024 | CPU load: 16
Tue Dec 24 12:26:18 +05 2024 | CPU load: 16
Tue Dec 24 12:26:56 +05 2024 | CPU load: 9
Tue Dec 24 12:26:56 +05 2024 | CPU load%: 9
Tue Dec 24 12:27:00 +05 2024 | CPU load: 8
Tue Dec 24 12:27:00 +05 2024 | CPU load%: 8
Tue Dec 24 12:27:03 +05 2024 | CPU load%: 11
Tue Dec 24 12:27:06 +05 2024 | CPU load%: 11
Tue Dec 24 12:27:09 +05 2024 | CPU load%: 13
Tue Dec 24 12:27:12 +05 2024 | CPU load%: 13
Tue Dec 24 12:27:15 +05 2024 | CPU load%: 16
Tue Dec 24 12:27:20 +05 2024 | CPU load%: 18
Tue Dec 24 12:27:23 +05 2024 | CPU load%: 18
Tue Dec 24 12:27:26 +05 2024 | CPU load%: 20
Tue Dec 24 12:27:29 +05 2024 | CPU load%: 20
Tue Dec 24 12:27:32 +05 2024 | CPU load%: 22
Tue Dec 24 12:27:35 +05 2024 | CPU load%: 23
Tue Dec 24 12:27:38 +05 2024 | CPU load%: 23
Tue Dec 24 12:28:33 +05 2024 | CPU load%: 10
Tue Dec 24 12:28:36 +05 2024 | CPU load: 9
Tue Dec 24 12:28:36 +05 2024 | CPU load%: 9
Tue Dec 24 12:28:40 +05 2024 | CPU load: 9
Tue Dec 24 12:28:40 +05 2024 | CPU load%: 9
Tue Dec 24 12:28:43 +05 2024 | CPU load%: 12
Tue Dec 24 12:28:46 +05 2024 | CPU load%: 14
